,year_,odo,price,ins,color
0,2017,34000,3180000,車検整備付,黒Ｍ 
1,2016,35000,2880000,車検整備付,黒 
2,2016,31000,3180000,2021-11-01,黒 
3,2015,57000,2280000,2022-03-01,黒Ｍ 
4,2015,52000,2398000,2022-03-01,白 
5,2015,19000,2860000,車検整備付,白 
6,2015,23000,3030000,車検整備付,白 
7,2015,11000,2880000,車検整備付,赤 
8,2013,64000,1470000,車検整備無,白 
9,2015,18000,2680000,車検整備付,黒 
10,2014,40000,1859000,2021-11-01,黒Ｍ 
11,2015,29000,2988000,2022-09-01,白 
12,2013,27000,2380000,車検整備付,黒 
13,2017,64000,2699000,2022-03-01,白 
14,2016,40000,2780000,2021-06-01,白 
15,2013,29000,2250000,車検整備付,白 
16,2016,40000,2498000,2022-05-01,白 
17,2016,39000,2790000,2021-06-01,白 
18,2016,23000,3300000,2021-05-01,白 
19,2015,46000,2980000,2022-09-01,白 
20,2015,46000,2600000,2022-07-01,白 
21,2014,70000,1780000,2022-10-01,白 
22,2014,67000,1800000,2021-03-01,白 
23,2014,60000,2800000,2021-05-01,白 
24,2013,34000,2180000,車検整備別,白 
25,2013,19000,2880000,車検整備無,白 
26,2015,66000,1998000,2022-03-01,白 
27,2014,126000,1250000,2021-12-01,赤赤赤 
28,2014,105000,1550000,2021-07-01,白 
29,2013,85000,1600000,車検整備付,白III 
30,2016,96000,1638000,2021-12-01,白 
31,2016,50000,1980000,2021-07-01,銀 
32,2015,166000,1480000,2022-04-01,白 
33,2014,20000,1970000,2021-05-01,青 
34,2013,113000,1380000,2022-11-01,白 
35,2013,21000,1780000,車検整備付,赤Ｍ 
36,2013,61000,2099000,2022-10-01,黒Ｍ 
37,2014,92000,1790000,車検整備無,真珠白 
38,2013,114000,1180000,車検整備付,黒 
39,2013,132000,998000,2022-05-01,黒 
40,2012,61000,1798000,2021-09-01,黒 
41,2017,2000,2899000,車検整備付,白 
42,2016,32000,2930000,2021-11-01,黒 
43,2016,31000,3090000,2021-06-01,黒 
44,2014,52000,2380000,2021-12-01,白 
45,2013,29000,1970000,車検整備付,白 
46,2016,41000,2699000,車検整備付,青 
47,2015,73000,3880000,2023-02-01,白 
48,2016,12000,2970000,2021-07-01,黒Ｍ 
49,2014,19000,2580000,2021-07-01,白 
50,2015,182000,792000,2022-10-01,白 
51,2013,68000,1750000,車検整備付,銀 
52,2013,94000,1980000,2022-07-01,白 
53,2017,34000,3180000,2022-03-01,黒Ｍ 
54,2017,22000,3280000,2022-04-01,白 
55,2015,45000,2680000,2022-12-01,白 
56,2015,70000,2280000,2022-04-01,白白 
57,2013,59000,1458000,車検整備別,黒 
58,2016,61000,2580000,2021-05-01,白 
59,2016,38000,3199000,車検整備付,白 
60,2015,27000,2699000,2022-08-01,白 
61,2016,4000,3180000,車検整備付,白 
62,2015,37000,2588000,2023-02-01,黒 
63,2018,34000,2968000,車検整備付,白 
64,2016,46000,2680000,車検整備付,白 
65,2014,66000,1890000,2021-12-01,白 
66,2015,73000,1888000,2022-02-01,黒Ｍ 
67,2014,90000,1288000,2021-08-01,白 
68,2012,67000,1600000,車検整備付,青 
69,2016,31000,2949000,車検整備付,黒 
70,2018,14000,3299000,2021-06-01,白 
71,2016,10000,2990000,2021-09-01,黒 
72,2014,57000,2189000,2021-09-01,黒 
73,2016,29000,3078000,2021-08-01,黒Ｍ 
74,2018,48000,2880000,車検整備付,白白 
75,2015,34000,2368000,2022-06-01,白 
76,2014,89000,1288000,車検整備別,白 
77,2015,22000,2980000,2022-04-01,白 
78,2017,40000,2769000,2022-01-01,白 
79,2018,19000,3180000,車検整備別,白 
80,2018,19000,3380000,2021-07-01,白 
81,2015,33000,2990000,車検整備付,白III 
82,2016,47000,2480000,車検整備付,白 
83,2012,42000,1860000,2021-11-01,黒 
84,2016,39000,2690000,2021-09-01,白 
85,2018,48000,2898000,車検整備付,黒 
86,2017,46000,3180000,2022-07-01,白 
87,2014,46000,1850000,車検整備付,白 
88,2014,36000,2430000,車検整備付,白 
89,2014,69000,1498000,車検整備別,黒 
90,2016,33000,2788000,2021-07-01,白 
91,2015,27000,2398000,2022-08-01,白 
92,2017,22000,3480000,2022-03-01,白 
93,2017,32000,3180000,2022-01-01,白 
94,2017,25000,3250000,2022-03-01,白 
95,2018,17000,3250000,2022-08-01,白 
96,2014,41000,2290000,2021-09-01,白 
97,2016,40000,2730000,車検整備付,白 
98,2014,17000,2380000,2021-09-01,白 
99,2017,47000,2199000,2022-04-01,銀 
100,2017,26000,2698000,2022-05-01,青 
101,2016,34000,2787000,車検整備付,黒 
102,2016,48000,2680000,2021-08-01,黒 
103,2016,64000,2088000,2021-07-01,白 
104,2016,35000,3080000,車検整備付,白 
105,2017,36000,2699000,2022-08-01,白 
106,2015,35000,2590000,2022-10-01,白 
107,2014,45000,1870000,車検整備付,白 
108,2015,93000,1480000,2022-03-01,黒 
109,2013,79000,2180000,2022-06-01,白 
110,2013,162000,1058000,2022-08-01,白 
111,2014,56000,1588000,2022-04-01,青 
112,2015,32000,1988000,2022-06-01,黒 
113,2014,50000,1888000,2021-11-01,白 
114,2018,23000,3580000,車検整備付,白 
115,2016,45000,2730000,2021-09-01,白 
116,2016,19000,2980000,車検整備付,白 
117,2014,56000,1799000,車検整備付,白 
118,2014,45000,1890000,車検整備付,青Ｍ 
119,2017,21000,3180000,2022-11-01,黒 
120,2017,47000,2290000,2022-03-01,黒 
121,2016,63000,2400000,2021-09-01,青 
122,2012,52000,1588000,2022-04-01,白 
123,2012,33000,2350000,2021-09-01,青 
124,2013,49000,2098000,2022-09-01,青 
